start	end	text
300000	310000	Hi, Arnav.
310000	314000	Yeah, Arnav, how are you?
314000	322000	Doing well. Sorry for the late. The internet was not working because of the rain, but then I have connected from my mobile. Yeah.
322000	332000	Yeah, so the secret introduction. I've been in the executive search for many years.
332000	340000	I did this role. I was with Michael Page. I was building the engineering manufacturing business from scratch.
340000	356000	My parents are leading the research at Arxena here. We're working primarily with family run companies and we hired in the manufacturing manufacturing companies and family run businesses.
356000	362000	This is the broad stream of the clients that I work with.
362000	372000	I'm currently working for an electrical goods product space and what we have is basically an old company. It's a 40-year-old business.
372000	386000	The third generation is working on the business now. Basically, it's a listed company. They're basically set up by the grandfather of the company.
386000	398000	Yeah, so I have a long relationship with them, nearly two years. Last year, I placed as CEO. Right now, I'm hiring a head of marketing for them.
398000	412000	And now the thing is, the founder, the promoters are sort of new, the guys from Oxford and studied in the US and UIUC.
412000	420000	So he wants to sort of bring on a very tech savvy run to his sales and marketing.
420000	424000	And that's primarily the objective here.
424000	431000	So what I'm trying to get out of here is get a sense of your background and your interest areas.
431000	437000	What is it that you are interested in and get a bit of grip on what your experience has been.
438000	443000	I'm actually, I got a CV, I have it in front of me right now.
443000	445000	Right, right, sure.
445000	456000	So I'm curious, especially around your role at Keelah Clouds and you can take more on the Keelah Clouds and probably a little bit of insulin as well.
456000	464000	What is your focus areas? What challenges have you faced in your role?
464000	470000	How have you been driving marketing? What has been the budgets that you've been pushing?
470000	474000	What has been the outcomes that you're trying to get at?
474000	480000	And I kind of rather want to hear the real integrity of things.
480000	486000	I think like Keenon understand me.
486000	490000	Actually, what challenges do you face?
490000	494000	A little bit more around what happens.
494000	499000	Give me a sense of both these roles a little bit.
499000	502000	That will be useful for me.
502000	504000	Yeah, sure, sure.
504000	507000	So I also wanted to check, like, this is a great company.
507000	510000	Like, are you comfortable in sharing the need?
510000	512000	It's actually a replacement role.
512000	516000	And basically, we have an incumbent.
516000	519000	We're not letting him out at the moment.
519000	523000	We will have four or five candidates who we take to the next round.
523000	526000	At which point, we will dismiss the name.
526000	529000	Like, I will take your work here. I will ask you a series of questions.
529000	531000	Get down.
531000	537000	Yeah, he meant like, what is the company name? What is this manufacturing name?
537000	542000	I cannot disclose that at this stage because it's a confidential search.
542000	546000	We have an incumbent already in the role. It's a replacement role.
546000	548000	Okay, understood.
548000	551000	It's a replacement role.
551000	557000	We have four or five candidates who we bring on to the next round and I'll take you through all of the details.
557000	560000	I want to have a mutual fit right now.
560000	562000	Okay.
562000	565000	And what my client is expecting.
565000	567000	Like,
567000	579000	I think that is what will give me a little bit more substance to go up to the client.
579000	582000	He's worked on his tools. He's brought from my sleep.
582000	584000	He's converted to this.
584000	589000	And once that moves forward, then when we come to meet you, really,
589000	594000	I think you'll have a full rundown on the business, what their plans are,
594000	598000	how they're getting where they are, what are they going to do in the next six years.
598000	600000	I'll take you through all of that.
600000	603000	We'll just give that a little bit more time.
603000	608000	But I need to get a little bit of matching here whether this works or not.
608000	611000	Okay, okay. Yeah, totally get it.
611000	616000	So, you know, like, so let me briefly introduce myself.
616000	621000	So, talking about my work experience, I started back in 2009.
621000	626000	Just one second. We have 20 minutes.
626000	630000	So, let's break it up real quick.
630000	635000	We'll focus on, I have your CV, so don't worry about a lot of introduction because I have your CV in front of me.
635000	637000	I've seen your education.
637000	639000	We are most the same age as mine.
639000	641000	We did 2.6 million.
641000	644000	So, I kind of get that.
644000	645000	Kind of get that.
645000	646000	Give me a little bit more.
646000	647000	What is not on the CV?
647000	649000	Which album is your first?
649000	651000	I think that's more interesting.
651000	653000	Sure, sure.
653000	658000	So, let me give you, give me an example about the current organization that is Akhila Cloud.
658000	664000	Akhila Cloud is into AI and they have like two products which is like Phenops and Blobs,
664000	666000	which is like meant for the large enterprise.
666000	669000	So, talking about the challenges, it's a startup firm, right?
669000	671000	And they are like already funded.
671000	677000	And for this year, they were trying to get another investment wherein they were not able to secure.
677000	682000	So, they were like very restricted in terms of marketing budget, right?
682000	688000	And like any other company and since the nature of the company startup, so everyone wants to grow.
688000	693000	So, the focus was like more towards the growth marketing rather than doing a lot of branding
693000	696000	and, you know, a typical marketing kind of work.
696000	702000	But then they wanted someone who can move the needle in terms of the growth marketing or the revenue marketing.
702000	708000	And at Akhila Cloud, I'm like, I'm working as an individual contributor.
708000	710000	So, do not have any team.
710000	715000	So, it's like me doing the execution and at the same time coming up with the strategies.
715000	721000	So, the challenges, of course, it was like the manpower as compared to my, the previous company wherein I was like
721000	724000	handling and managing team of around 40 people, right?
724000	729000	And then this company working as an individual contributor and the goal is the same.
729000	733000	Like both the company, it's about the revenue, like every company has a goal.
733000	739000	So, this company has a goal of making like around 50 million this year, this financial year.
739000	743000	Since it's a US-based company, the financial year starts from January to December.
743000	750000	And so, the challenges was like I was not very much, I was like very limited on organic marketing
750000	751000	rather than going with the paid.
751000	759000	Because if you go with the paid advertising, be it like the Google ads, LinkedIn ads or be it like the offline advertising,
759000	761000	the investment is very huge.
761000	770000	So, here since I had like this years of experience, so I knew like what are the channel that I could go, you know,
770000	773000	that can be used for a lead generation.
773000	779000	And so, I went with the marketing automation and the other channel was the LinkedIn.
779000	781000	Let me pause you.
781000	785000	You were reporting to...
785000	787000	I was reporting to...
787000	789000	So, they are like two founding members.
789000	791000	One is CEO, Sochit Kaurra.
791000	796000	And the other one is Chan, who is chip product officer.
796000	799000	So, both are based in California.
799000	800000	Okay.
800000	805000	And the structure is that you are the head of marketing and you are the IC role.
805000	806000	Yes.
806000	808000	There is a separate head of sales.
808000	809000	Yes.
809000	811000	Head of sales team.
811000	815000	That's two person only.
815000	817000	It's very small company.
817000	822000	How many people in the company?
822000	826000	It's like around total strength would be like around 45 to 50 people.
826000	828000	Okay, fine.
828000	835000	Majority like in Pune itself, they have like around 15 to 20 people in development for this product.
835000	839000	And the sales team for India, they have like two.
839000	844000	For US, they have like around two, two person.
844000	848000	And even like the co-founders, they also contribute in this instance.
848000	850000	They have like all of this huge network.
850000	854000	They come from a good background like from ORAC, CFE and all those things.
854000	856000	And we are like tied up.
856000	858000	We are working with Vipro, Hitachi, CFE, Mothersons,
